merchant_id,period,district_id,mcc,period_revenue,period_transaction_count,period_distinct_customers,POI_count,POI_diversity,merchant_district_mean_household_income,revenue_change,transaction_change,customer_change,mcc_median_revenue_change,mcc_median_transaction_change,mcc_median_customer_change,customer_age_mean,customer_age_median,customer_income_mean,customer_income_median,customer_gender_entropy,number_of_customer_work_districts,customer_work_district_entropy,number_of_customer_home_districts,customer_home_district_entropy,customer_job_type_entropy,customer_education_entropy,customer_marital_status_entropy,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector__centrality,merchant_district_population,merchant_ego_net_mcc_entropy,merchant_ego_net_geo_entropy,revenue_label,transaction_label,customer_label,sum_labels,performance_label
618,1,34,5411,1872.44,94,15,109,1.453343532,8845,0.342558373,0.212765957,0.066666667,0.177622795,0.10140376,0.055555556,38.53333333,37,2509.266667,1825,0.636513968,8,1.859428015,3,0.485093791,0.244929827,1.020036558,0.76475412,64,70.4334717,0.000239349,0.001350671,222370,1.097125573,1.72090876,1,1,1,3,well-performing
619,1,42,5411,1003.6,63,12,74,1.125519598,3024,1.201823436,0.047619048,0.166666667,0.177622795,0.10140376,0.055555556,35.25,34.5,1771,1740,0.636513968,4,1.118742936,4,0.836987817,0.286835783,1.473501785,0.721463387,34,12.24079653,0.000224266,0.000426423,846492,1.023028889,1.531714018,1,0,1,2,medium-performing
620,1,121,5411,4788.04,161,28,165,1.298717884,3567,-0.070797236,-0.142857143,0.142857143,0.177622795,0.10140376,0.055555556,39.96428571,41.5,2489.235357,2000,0.469220148,12,2.113767388,3,0.306828853,0.847714408,1.470770787,0.408697425,106,161.1057778,0.0002405,0.002245231,770393,1.045943522,1.513416762,0,0,1,1,medium-performing
621,1,120,5411,5422.97,265,58,85,1.363854469,4327,-0.152230235,-0.147169811,-0.068965517,0.177622795,0.10140376,0.055555556,42.15517241,40.5,2228.12069,1811,0.644185577,16,2.177136918,7,0.832720601,0.934148583,1.362682152,0.535577704,154,275.7187471,0.000251762,0.006085365,314670,0.977204579,1.742614071,0,0,0,0,poorly-performing
622,1,82,5411,2577.78,71,12,53,1.29733378,4670,-0.02687196,-0.084507042,0.166666667,0.177622795,0.10140376,0.055555556,36,35,3179.083333,2000,0.679193066,8,1.935599705,3,0.823958917,0.450561009,1.357977355,0.566085439,46,28.05166785,0.000238834,0.000951129,381114,1.021439676,2.126940218,0,0,1,1,medium-performing
623,1,100,5411,3315.31,114,27,98,1.063099237,3019,0.439551656,0.464912281,0.333333333,0.177622795,0.10140376,0.055555556,40.2962963,42,1932.407407,1750,0.529705999,12,2.272177863,3,0.315395987,0.522171541,1.301947237,0.419555592,73,36.91997474,0.000233863,0.002251699,497959,1.026728228,1.30703768,1,1,1,3,well-performing
624,1,121,5411,1755.43,72,22,76,0.696501285,3567,0.565041044,0.041666667,-0.181818182,0.177622795,0.10140376,0.055555556,41.40909091,40.5,1955.598636,1500,0.474139113,11,1.918385006,2,0.184907199,0.663179053,1.363564122,0.54811748,58,25.92503459,0.000236351,0.000832238,770393,1.006744823,1.215856205,1,0,0,1,medium-performing
625,1,60,5411,3873.83,141,21,28,0.340499778,3671,-0.169026519,-0.312056738,0.19047619,0.177622795,0.10140376,0.055555556,38.66666667,38,2267.142857,2000,0.410116118,7,1.401616451,3,0.380505918,0.835937064,1.45889485,0.548874184,56,29.34814901,0.000227066,0.000709927,243474,0.962021319,1.327216914,0,0,1,1,medium-performing
626,1,42,5411,2196.54,107,27,98,1.434550992,3024,-0.085566391,-0.112149533,-0.148148148,0.177622795,0.10140376,0.055555556,38.37037037,38,1866.950741,1900,0.479165424,13,2.239138864,5,0.624859812,0.725864946,1.335247004,0.754462302,73,60.32388828,0.000237925,0.001765257,846492,0.9652983,1.661051739,0,0,0,0,poorly-performing
627,1,70,5411,1376.83,60,23,245,0.748386368,3480,0.419993754,0.133333333,-0.086956522,0.177622795,0.10140376,0.055555556,37.95652174,36,2181.391304,1800,0.387212175,11,2.088090843,4,0.642857513,0.642857513,1.479905639,0.73932103,65,58.38620818,0.000242307,0.001241161,274197,0.935661973,1.67463649,1,1,0,2,medium-performing
628,1,86,5411,3903.72,124,20,141,1.021870796,2187,0.269150964,0.35483871,0.05,0.177622795,0.10140376,0.055555556,36.5,37,3472.45,1950,0.500402224,12,2.302583893,5,0.895379405,0.708346178,1.16552404,0.708346178,64,49.84356071,0.000240211,0.001149732,528514,1.07201833,2.190454551,1,1,0,2,medium-performing
629,1,121,5411,1792.11,70,19,98,1.080632839,3567,-0.111315712,0.1,-0.105263158,0.177622795,0.10140376,0.055555556,37.94736842,39,3102.631579,1800,0.514652965,10,1.981095754,2,0.206191851,0.824659024,1.337294638,1.016008031,56,56.45390745,0.00022805,0.00047297,770393,0.80132442,1.147272226,0,0,0,0,poorly-performing
630,1,70,5411,2236.84,91,25,113,0.966912171,3480,0.259978362,0.043956044,-0.12,0.177622795,0.10140376,0.055555556,40,37,1894.58,1500,0.592953117,13,2.052897056,1,-1.00E-07,0.95052241,1.011627511,0.592953117,59,20.06861595,0.000239521,0.002083248,274197,1.017345283,1.164978793,1,0,0,1,medium-performing
631,1,121,5411,3967.97,130,36,145,1.122574087,3567,0.894623699,0.823076923,-0.138888889,0.177622795,0.10140376,0.055555556,38.36111111,38,1808.861111,1550,0.529705999,12,2.06003287,4,0.378386607,0.740915375,1.188185502,0.549457648,70,46.17198973,0.000229358,0.001291832,770393,0.975299307,1.008373538,1,1,0,2,medium-performing
632,1,60,5411,3381.17,136,26,18,1.193942253,3671,-0.249597033,-0.507352941,0.038461538,0.177622795,0.10140376,0.055555556,38.15384615,37,2153.923077,2115,0.489551694,11,2.131340374,6,0.900367483,1.003543524,1.334906787,0.540203942,59,49.5224704,0.000225734,0.00044794,243474,0.69990968,1.338454243,0,0,0,0,poorly-performing
633,1,115,5411,1699.16,69,18,128,1.618845461,7822,-0.113314814,-0.057971014,-0.166666667,0.177622795,0.10140376,0.055555556,36.05555556,32.5,2649.944444,1511,0.693146981,5,1.244953221,5,0.837771113,0.425848149,1.382342559,0.786700938,57,65.60474063,0.000240327,0.001386303,274196,0.861267139,1.234314986,0,0,0,0,poorly-performing
634,1,100,5411,2285.11,75,31,50,1.319497936,3019,0.053196564,0.173333333,-0.129032258,0.177622795,0.10140376,0.055555556,37.38709677,38,1886.689677,1500,0.602440064,13,2.174729539,6,0.928775494,0.687082713,0.975587458,0.713971273,101,133.5813216,0.000243784,0.002163867,497959,0.96700872,1.620169119,0,1,0,1,medium-performing
635,1,42,5411,3183.6,79,39,42,0.938768304,3024,-0.022418017,0.17721519,0.153846154,0.177622795,0.10140376,0.055555556,44,41,3069.74359,2000,0.594880054,15,2.261379332,7,1.029324787,1.09783123,1.374343133,0.544225302,104,127.1550473,0.000242014,0.002977253,846492,0.963412983,1.65011793,0,1,1,2,medium-performing
636,1,60,5411,12119.69,158,111,99,1.319171755,3671,-0.139349274,0.006329114,-0.054054054,0.177622795,0.10140376,0.055555556,39.1981982,38,2397.154865,2000,0.510232644,20,2.428361789,14,1.736288863,0.757990546,1.46500865,0.601396755,306,1434.639083,0.000259403,0.008910907,243474,1.061866739,2.163783352,0,0,0,0,poorly-performing
637,1,42,5411,20883.3,86,71,49,1.484465106,3024,-0.658006158,-0.197674419,-0.211267606,0.177622795,0.10140376,0.055555556,41.1971831,39,2751.135211,2000,0.431165286,17,2.447795881,11,1.733077576,0.944113115,1.379595088,0.681064681,212,552.984319,0.000248077,0.005059141,846492,1.026576005,1.884400077,0,0,0,0,poorly-performing
638,1,53,5411,11980.38,259,35,145,1.294185373,4513,0.633398941,0.362934363,0.085714286,0.177622795,0.10140376,0.055555556,38.62857143,37,4241.914286,3000,0.622486721,19,2.767645041,15,2.074885433,1.248711511,1.299523076,0.971922826,146,229.3740702,0.000254907,0.003574538,396729,1.084415922,2.689452617,1,1,1,3,well-performing
